timestamp,open,high,low,close,volume,indicator,signal,balance_usdt,balance_btc,total_balance
2024-06-01 00:00:00,67540.01,67703.89,67507.39,67655.66,569.87074,,0,1000,0.0,1000.0
2024-06-01 01:00:00,67655.66,67710.29,67428.44,67560.0,566.55975,,0,1000,0.0,1000.0
2024-06-01 02:00:00,67560.0,67740.0,67546.52,67729.05,327.71958,,0,1000,0.0,1000.0
2024-06-01 03:00:00,67729.05,67757.14,67623.24,67715.31,313.20132,,0,1000,0.0,1000.0
2024-06-01 04:00:00,67715.31,67763.81,67656.0,67680.01,315.96397,,0,1000,0.0,1000.0
2024-06-01 05:00:00,67680.01,67810.0,67603.0,67686.35,316.72396,,0,1000,0.0,1000.0
2024-06-01 06:00:00,67686.35,67729.87,67607.94,67693.32,266.23887,,0,1000,0.0,1000.0
2024-06-01 07:00:00,67693.32,67733.01,67575.23,67632.08,351.80708,,0,1000,0.0,1000.0
2024-06-01 08:00:00,67632.07,67741.06,67611.61,67704.0,376.4478,,0,1000,0.0,1000.0
2024-06-01 09:00:00,67704.0,67760.0,67635.0,67706.69,349.38935,,0,1000,0.0,1000.0
2024-06-01 10:00:00,67706.69,67750.0,67627.32,67627.33,317.62668,,0,1000,0.0,1000.0
2024-06-01 11:00:00,67627.33,67694.0,67627.32,67660.57,249.68951,,0,1000,0.0,1000.0
2024-06-01 12:00:00,67660.57,67872.5,67640.0,67717.76,408.2284,,0,1000,0.0,1000.0
2024-06-01 13:00:00,67717.76,67837.0,67714.28,67720.01,419.26976,,0,1000,0.0,1000.0
2024-06-01 14:00:00,67720.01,67870.0,67673.0,67803.34,379.0052,,0,1000,0.0,1000.0
2024-06-01 15:00:00,67803.33,67824.0,67668.01,67691.28,321.49058,,0,1000,0.0,1000.0
2024-06-01 16:00:00,67691.28,67719.99,67612.0,67700.01,304.8731,,0,1000,0.0,1000.0
2024-06-01 17:00:00,67700.01,67900.0,67556.72,67791.02,1177.16281,,0,1000,0.0,1000.0
2024-06-01 18:00:00,67791.02,67821.73,67726.32,67750.71,277.11069,,0,1000,0.0,1000.0
2024-06-01 19:00:00,67750.7,67782.64,67685.72,67753.76,174.52798,,0,1000,0.0,1000.0
2024-06-01 20:00:00,67753.76,67796.54,67700.0,67796.54,337.18395,,0,1000,0.0,1000.0
2024-06-01 21:00:00,67796.54,67820.2,67713.23,67760.01,290.36113,,0,1000,0.0,1000.0
2024-06-01 22:00:00,67760.01,67885.0,67710.0,67765.4,263.4495,,0,1000,0.0,1000.0
2024-06-01 23:00:00,67765.41,67819.78,67723.0,67766.85,163.75962,,0,1000,0.0,1000.0
2024-06-02 00:00:00,67766.84,67910.55,67744.0,67889.0,298.77105,,0,1000,0.0,1000.0
2024-06-02 01:00:00,67888.99,67900.0,67710.0,67755.0,408.0762,,0,1000,0.0,1000.0
2024-06-02 02:00:00,67755.0,67815.0,67643.33,67733.26,340.27499,,0,1000,0.0,1000.0
2024-06-02 03:00:00,67733.25,67807.99,67726.31,67789.47,240.10946,22.417616174516727,1,900,0.0014751553596745925,1000.0
2024-06-02 04:00:00,67789.48,67852.63,67745.18,67852.62,179.28516,22.641454835113233,1,900,0.0014751553596745925,1000.0931560609635
2024-06-02 05:00:00,67852.62,67867.6,67728.4,67728.4,208.19005,22.560012474811625,1,900,0.0014751553596745925,999.9099122621847
2024-06-02 06:00:00,67728.41,67852.33,67724.6,67841.09,326.57495,22.416643614185904,1,900,0.0014751553596745925,1000.0761475196664
