timestamp,open,high,low,close,volume,indicator,upperband,lowerband,signal,balance_usdt,balance_btc,total_balance
2024-06-01 00:00:00,3762.29,3768.66,3752.67,3764.15,6432.9727,,,,0,1000.0,0.0,1000.0
2024-06-01 01:00:00,3764.15,3776.19,3759.22,3766.79,5351.1208,,,,0,1000.0,0.0,1000.0
2024-06-01 02:00:00,3766.79,3779.36,3766.0,3777.79,3479.6136,,,,0,1000.0,0.0,1000.0
2024-06-01 03:00:00,3777.79,3782.07,3774.51,3778.98,3898.7589,,,,0,1000.0,0.0,1000.0
2024-06-01 04:00:00,3778.98,3785.26,3771.19,3784.35,3846.3542,,,,0,1000.0,0.0,1000.0
2024-06-01 05:00:00,3784.35,3794.11,3778.33,3789.79,6063.0824,,,,0,1000.0,0.0,1000.0
2024-06-01 06:00:00,3789.79,3791.81,3782.31,3788.84,5030.0455,,,,0,1000.0,0.0,1000.0
2024-06-01 07:00:00,3788.84,3790.67,3770.31,3773.0,4903.5483,,,,0,1000.0,0.0,1000.0
2024-06-01 08:00:00,3772.99,3802.0,3772.43,3799.11,11748.8694,,,,0,1000.0,0.0,1000.0
2024-06-01 09:00:00,3799.11,3809.55,3788.48,3793.14,8704.6185,,,,0,1000.0,0.0,1000.0
2024-06-01 10:00:00,3793.14,3796.05,3784.07,3785.99,3260.1453,,,,0,1000.0,0.0,1000.0
2024-06-01 11:00:00,3785.99,3793.39,3782.07,3788.28,4303.1593,,,,0,1000.0,0.0,1000.0
2024-06-01 12:00:00,3788.28,3806.97,3787.0,3795.71,6240.3949,,,,0,1000.0,0.0,1000.0
2024-06-01 13:00:00,3795.71,3809.8,3795.3,3802.01,5232.4455,,,,0,1000.0,0.0,1000.0
2024-06-01 14:00:00,3802.01,3814.67,3797.0,3809.66,5739.4996,,,,0,1000.0,0.0,1000.0
2024-06-01 15:00:00,3809.66,3812.69,3798.17,3798.6,5988.1808,,,,0,1000.0,0.0,1000.0
2024-06-01 16:00:00,3798.6,3806.43,3794.15,3799.0,5596.9092,,,,0,1000.0,0.0,1000.0
2024-06-01 17:00:00,3799.0,3809.09,3790.21,3807.01,5935.6776,,,,0,1000.0,0.0,1000.0
2024-06-01 18:00:00,3807.01,3809.81,3797.71,3802.0,4140.3878,,,,0,1000.0,0.0,1000.0
2024-06-01 19:00:00,3801.99,3806.73,3797.15,3804.51,2493.4532,3790.4354999999996,3816.0091594764613,3764.861840523538,0,1000.0,0.0,1000.0
2024-06-01 20:00:00,3804.5,3807.5,3799.0,3806.78,3852.6661,3792.567,3816.0421341635974,3769.0918658364026,0,1000.0,0.0,1000.0
